Compound	Object ID	Chemical Formula	InChI-Key	ChEBI
5-methyltetrahydropteroyl mono-L-glutamate	5-METHYL-THF	C20H23N7O6	InChIKey=ZNOVTXRBGFNYRX-STQMWFEESA-L	18608
(3<i>S</i>)-3-hydroxy-2-propylpentanoyl-CoA	CPD-23632	C29H46N7O18P3S	InChIKey=TWESTLCGODTUDY-ONAVXJBESA-J	
&beta;-(1&rarr;2)-glucotriose	CPD-22683	C18H32O16	InChIKey=UQBIAGWOJDEOMN-FYHZSNTMSA-N	61762
5-methyltetrahydropteroyl tri-L-glutamate	CPD-1302	C30H35N9O12	InChIKey=HVRNKDVLFAVCJF-VJANTYMQSA-J	58207
5-methyltetrahydropteroyl di-L-glutamate	CPD-17119	C25H29N8O9	InChIKey=VNEFZDDORGCJSD-JYJNAYRXSA-K	
pseudomonate B	CPD-21448	C26H43O10	InChIKey=JGKQAKOVZJHZTF-DLMPBFDCSA-M	
4-nitrophenyl-&beta;-D-cellotetraoside	CPD-13233	C30H45NO23	InChIKey=NPSLEEASXYBLOE-HGEVGGQQSA-N	
&beta;-sitosterol 3-O-&beta;-D-glucoside	CPD-11608	C35H60O6	InChIKey=NPJICTMALKLTFW-OFUAXYCQSA-N	67554
(-)-jasmonoyl-L-phenylalanine	CPD-11235	C21H26NO4	InChIKey=BYYWRCJZFSTRMQ-WSKZCNLGSA-M	
(+)-7-<i>epi</i>-jasmonoyl-L-phenylalanine	CPD-19817	C21H26NO4	InChIKey=BYYWRCJZFSTRMQ-JNPKKTEJSA-M	
solasodine 3-O-&beta;-D-glucoside	CPD-13081	C33H54NO7	InChIKey=XMLLJGHZPHTUKK-CKSYUEDFSA-O	
roseoflavin 5'-phosphate	CPD-19839	C18H21N5O9P	InChIKey=KBASEDIREZTYND-GUTXKFCHSA-K	
dihydroosmaronin	CPD-22483	C11H19NO6	InChIKey=HMHWOCAKHBBOPZ-OVHRRVLLSA-N	
ergosterol 3-O-&beta;-D-glucoside	CPD-11602	C34H54O6	InChIKey=MKZPNGBJJJZJMI-GBLVNJONSA-N	52973
Pb<sup>2+</sup>	PB+2	Pb	InChIKey=RVPVRDXYQKGNMQ-UHFFFAOYSA-N	49807
streptolidigin	CPD-18222	C32H44N2O9	InChIKey=KVTPRMVXYZKLIG-JRVYQZSFSA-N	
brassicasterol 3-O-&beta;-D-glucoside	CPD-13084	C34H56O6	InChIKey=ILUZPRRJJSFYEH-OBNQGTFASA-N	145041
Ca<SUP>2+</SUP>	CA+2	Ca	InChIKey=BHPQYMZQTOCNFJ-UHFFFAOYSA-N	29108
salicin 6-phosphate	CPD-1181	C13H17O10P	InChIKey=FSJKOMDYZYBBLV-UJPOAAIJSA-L	64794
stigmasterol 3-O-&beta;-D-glucoside	CPD-11606	C35H58O6	InChIKey=VWDLOXMZIGUBKM-AUGXRQBFSA-N	68383
Sr<sup>2+</sup>	CPD-8886	Sr	InChIKey=PWYYWQHXAPXYMF-UHFFFAOYSA-N	35104
decarboxy-dehydroxy-demycosaminyl-nystatin	CPD-17500	C41H66O11	InChIKey=NFFZEMWXQGNITJ-XZRDCBDRSA-N	
Cd<SUP>2+</SUP>	CD+2	Cd	InChIKey=WLZRMCYVCSSEQC-UHFFFAOYSA-N	48775
linamarin	LINAMARIN	C10H17NO6	InChIKey=QLTCHMYAEJEXBT-ZEBDFXRSSA-N	16441
Hg<SUP>2+</SUP>	HG+2	Hg	InChIKey=BQPIGGFYSBELGY-UHFFFAOYSA-N	16793
Sn<SUP>2+</SUP>	CPD-1490	Sn	InChIKey=IUTCEZPPWBHGIX-UHFFFAOYSA-N	30475
cucurbitacin F	CPD-5302	C30H44O7	InChIKey=BPQYNMFSMQOUKY-DJMAWCNKSA-N	3945
nojirimycin	CPD-16889	C6H14NO5	InChIKey=BGMYHTUCJVZIRP-GASJEMHNSA-O	28945
HDM<sub>2</sub>BOA-glucoside	CPD-22325	C17H23NO11	InChIKey=AJLYPYKZKJKHKI-FPUYRSMXSA-N	173103
cucurbitacin A	CPD-5201	C32H46O9	InChIKey=IHTCCHVMPGDDSL-DIXZUHKISA-N	3940
Zn<SUP>2+</SUP>	ZN+2	Zn	InChIKey=PTFCDOFLOPIGGS-UHFFFAOYSA-N	29105
Ba<SUP>2+</SUP>	BA+2	Ba	InChIKey=XDFCIPNJCBUZJN-UHFFFAOYSA-N	37136
cucurbitacin I	CPD-5303	C30H41O7	InChIKey=NISPVUDLMHQFRQ-MKIKIEMVSA-M	3947
FR-33289	CPD-15962	C5H11NO6P	InChIKey=SMXUDUOWTDBXDT-RXMQYKEDSA-M	
taxiphyllin	CPD-1103	C14H17NO7	InChIKey=NVLTYOJHPBMILU-GMDXDWKASA-N	16267
cucurbitacin B	CPD-5202	C32H46O8	InChIKey=IXQKXEUSCPEQRD-KQONOONZSA-N	3941
Mg<SUP>2+</SUP>	MG+2	Mg	InChIKey=JLVVSXFLKOJNIY-UHFFFAOYSA-N	18420
platensimycin	CPD-15302	C24H26NO7	InChIKey=CSOMAHTTWTVBFL-OFBLZTNGSA-M	178082
cucurbitacin E	CPD-5203	C32H43O8	InChIKey=NDYMQXYDSVBNLL-GPIPDBLZSA-M	3944
Be<SUP>2+</SUP>	CPD-1492	Be	InChIKey=PWOSZCQLSAMRQW-UHFFFAOYSA-N	30502
methyl &beta;-D-glucoside 6-phosphate	CPD0-2499	C7H13O9P	InChIKey=RXYNVAYAPLNZFK-XUUWZHRGSA-L	
(<i>S</i>)-timolol	CPD-21379	C13H24N4O3S	InChIKey=BLJRIMJGRPQVNF-JTQLQIEISA-N	9599
(<i>R</i>)-timolol	CPD-21380	C13H24N4O3S	InChIKey=BLJRIMJGRPQVNF-SNVBAGLBSA-N	39466
pentalenolactone D	CPD-13621	C15H19O4	InChIKey=MRLXXQBBRNRWDA-LIEMUPCESA-M	70787
(2S)-((6-O-(&beta;-D-apiofuranosyl)&beta;-D-glucopyranosyl)oxy)butane	CPD-15071	C15H28O10	InChIKey=DANFNCOJRRFMIO-RVIAKIMPSA-N	
phaseic acid	CPD-7725	C15H19O5	InChIKey=IZGYIFFQBZWOLJ-HOJYMBPFSA-M	62069
enviomycin	ENVIOMYCIN	C25H46N13O10	InChIKey=HPWIIERXAFODPP-GHBBWTPBSA-Q	135872
dihydroxyphaseic acid	CPD-7726	C15H21O5	InChIKey=XIVFQYWMMJWUCD-GCLQBGPMSA-M	23757
D-apiitol	CPD-20947	C5H12O5	InChIKey=SDXWEZQDLHNYFR-BYPYZUCNSA-N	17702
DIMBOA-&beta;-D-glucoside	CPD-6562	C15H19NO10	InChIKey=WTGXAWKVZMQEDA-XGHDNVSXSA-N	16603
7'-hydroxyabscisate	CPD-17688	C15H19O5	InChIKey=ZGHRCSAIMSBFLK-IQSISOBESA-M	20764
L-apiitol	CPD-20948	C5H12O5	InChIKey=SDXWEZQDLHNYFR-SCSAIBSYSA-N	48307
borrelidin	CPD0-1348	C28H42NO6	InChIKey=OJCKRNPLOZHAOU-PJMPHYLXSA-M	78661
9'-hydroxyabscisate	CPD-7728	C15H19O5	InChIKey=AVFORCKFTWHFAR-QOMXHDIWSA-M	85162
<i>S</i>-(5-hydroxypentan-3-yl)-L-cysteinylglycine	CPD-21133	C10H20N2O4S	InChIKey=QZFZJULECZGUMW-MQWKRIRWSA-N	
8'-hydroxyabscisate	CPD-7234	C15H19O5	InChIKey=AVFORCKFTWHFAR-ZSIFGTMLSA-M	58490
<i>S</i>-(4-hydroxy-2-methylpentan-2-yl)-L-cysteinylglycine	CPD-21130	C11H22N2O4S	InChIKey=CSMMXTQTGGNYRG-MQWKRIRWSA-N	
ambruticin S	CPD-26145	C28H41O6	InChIKey=TYIXBSJXUFTELJ-LQJOTGEPSA-M	
neophaseate	CPD-7729	C15H19O5	InChIKey=IZGYIFFQBZWOLJ-UUZREKTLSA-M	
RCTR2	CPD-25494	C27H39N2O7S	InChIKey=RJHKUGKYEOVVKD-ODERTVPDSA-M	
24-demethoxycarbonyl-24-methylstreptovaricin C	CPD-21897	C39H51NO12	InChIKey=QIHHHBBJLJNMPM-MDEBSDSCSA-N	
<i>S</i>-(4-hydroxy-nonenal-3-yl)-L-cysteinylglycine	CPD-14705	C14H26N2O5S	InChIKey=LQTWZQSULMRBEE-UNXYVOJBSA-N	
rifabutin	CPD-21871	C46H62N4O11	InChIKey=ATEBXHFBFRCZMA-VXTBVIBXSA-N	45367
streptovaricin K	CPD-21855	C42H53NO16	InChIKey=XRODLRUQSITVTH-JVUQFCDJSA-N	
<i>S</i>-methyl-L-cysteinylglycine	CPD-21202	C6H12N2O3S	InChIKey=IBYGDPFBVGZMRY-BYPYZUCNSA-N	
fagopyritol B2	CPD-8254	C18H32O16	InChIKey=MWNCPUNLDATDBW-AKBNUTDMSA-N	175870
damavaricin C	CPD-21893	C37H47NO13	InChIKey=JJOHNICSOMSGDB-UOPIZVOHSA-N	
(<i>Z</i>)-1-(L-cysteinyglycin-<i>S</i>-yl)-<i>N</i>-hydroxy-2-phenylethan-1-imine	CPD-12385	C13H17N3O4S	InChIKey=FRNQPMDCZLCKPZ-WSJCWXPMSA-N	136830
cefoselis	CPD-20701	C19H22N8O6S2	InChIKey=ZINFAXPQMLDEEJ-GFVOIPPFSA-N	3496
streptovaricin D	CPD-21852	C40H51NO13	InChIKey=SFIMJDKEAAKAPV-MQFBWTOGSA-N	
<i>S</i>-(1-hydroxyhexan-3-yl)-L-cysteinylglycine	CPD-21134	C11H22N2O4S	InChIKey=LMIAAOZNMQQQBK-GKAPJAKFSA-N	
ciceritol	CPD-8049	C19H34O16	InChIKey=ATDWJHOSZLOQDJ-LMKXGGCJSA-N	191970
3-methylprostreptovaricin	CPD-21880	C36H49NO10	InChIKey=YBEYVMNVLYZSJV-OZHJPZIFSA-N	
<i>S</i>-(4-hydroxy-3-methylbutan-2-yl)-L-cysteinylglycine	CPD-21131	C10H20N2O4S	InChIKey=NMSGEQVJPQIRJT-RRQHEKLDSA-N	
rustmicin	CPD-19528	C21H32O6	InChIKey=WOFFENQLRMDHKE-CJAJMRFHSA-N	
streptovaricin A	CPD-21849	C42H53NO16	InChIKey=DAQTVVQVNADAHI-IUIPKDSUSA-N	
(<i>Z</i>)-1-(L-cysteinylglycin-<i>S</i>-yl)-<i>N</i>-hydroxy-2-(4-hydroxyphenyl)ethan-1-imine	CPD-20052	C13H17N3O5S	InChIKey=XWMFADDZWPFBPQ-WSJCWXPMSA-N	
galactinol	CPD-458	C12H22O11	InChIKey=VCWMRQDBPZKXKG-XIDCDEPRSA-N	17505
ansavaricin C	CPD-21915	C37H47NO13	InChIKey=LFJYUMJUALTXBI-GFHQBMRKSA-N	
<i>S</i>-(3-methylbutan-3-yl)-L-cysteinylglycine	CPD-21345	C10H20N2O4S	InChIKey=VKNYIUAACZKZDC-ZETCQYMHSA-N	
ravidomycin M	CPD-18162	C30H34NO9	InChIKey=URNOCPJOYPLGCF-ACWSPIGKSA-O	
protostreptovaricin IV	CPD-21862	C37H49NO10	InChIKey=FCFQQWYUQXFFRV-YDKOOGADSA-N	
(<i>Z</i>)-1-(L-cysteinylglycin-<i>S</i>-yl)-<i>N</i>-hydroxy-2-(1<i>H</i>-indol-3-yl)ethan-1-imine	CPD-12388	C15H18N4O4S	InChIKey=PQEHILHGDWJAOT-UQGHUHRHSA-N	136831
fagopyritol A3	CPD-8258	C24H42O21	InChIKey=XCUQINBMYSWRHJ-SSRWMGOCSA-N	
ansavaricin A	CPD-21912	C37H47NO13	InChIKey=UTGDCEGAJIBRFD-SAERYZRPSA-N	
<i>S</i>-(methylmercury)-L-cysteinylglycine	CPD-21195	C6H12N2O3SHg	InChIKey=FQFCCDWYSODBFN-QTNFYWBSSA-M	
tetrocarcin A	CPD-17823	C67H96N2O24	InChIKey=KAJYHKRSEVHEGX-HCQSHQBASA-N	
protostreptovaricin I	CPD-21859	C36H47NO9	InChIKey=SDRVIXWWJSYRMU-GHNWSATFSA-N	
<i>S</i>-benzyl-L-cysteinylglycine	CPD-21137	C12H16N2O3S	InChIKey=JBOHJUDJUVTRCF-JTQLQIEISA-N	145802
fagopyritol B3	CPD-8255	C24H42O21	InChIKey=XCUQINBMYSWRHJ-DLRKVQIZSA-N	
7,8-didehydro-28-hydroxy-3-methylprostreptovaricin	CPD-21900	C36H47NO11	InChIKey=QYNZTRDCLZDYCC-CPJUCZEHSA-N	
<i>S</i>-(4-oxo-2-methylpentan-2-yl)-L-cysteinylglycine	CPD-21132	C11H20N2O4S	InChIKey=DFJKOEFGUBOEJE-QMMMGPOBSA-N	
cytomycin	CPD-17174	C17H23N7O5	InChIKey=NXYZPLILSHUEBR-LBLJTAPMSA-N	4071
streptovaricin E	CPD-21856	C40H49NO14	InChIKey=QFWPUJUVXCUSSX-WXOLCXTFSA-N	
<i>S</i>-(6-hydroxy-4-methylhexan-4-yl)-L-cysteinylglycine	CPD-21107	C12H24N2O4S	InChIKey=FIKNGFBNGIHRJV-QHGLUPRGSA-N	145804
D-galactosylononitol	CPD-8058	C13H24O11	InChIKey=RSYNCMYDVZFZBP-NRORZAABSA-N	
damavaricin D	CPD-21894	C37H47NO12	InChIKey=GLAXBIHFMNSHDS-PZVRZMQLSA-N	
MCTR2	CPD-25491	C27H39N2O6S	InChIKey=CPBQPRBQBDLLLA-VZUSUAOUSA-M	
phyllostine	CPD-16724	C7H6O4	InChIKey=PLELZLHJHUZIGY-RQJHMYQMSA-N	145110
streptovaricin G	CPD-21853	C40H51NO15	InChIKey=VFWVBAYZDJRDPD-FTPLPDPLSA-N	
(L-cysteinylglycin-<i>S</i>-yl)(1<i>H</i>-indol-3-yl)acetonitrile	CPD-12635	C15H16N4O3S	InChIKey=KRSCQOPJLNSQDL-AMGKYWFPSA-N	136832
galactopinitol A	CPD-8047	C13H24O11	InChIKey=WFSVEMFCPALUBB-GDYURJOXSA-N	139380
7,8-didehydro-3-methylprostreptovaricin	CPD-21882	C36H47NO10	InChIKey=FZPBPHJIHDRREL-WWQJHQNJSA-N	
<i>S</i>-(4-nitrobenzyl)-L-cysteinylglycine	CPD-21201	C12H15N3O5S	InChIKey=VGLAKOFUCVFYSO-JTQLQIEISA-N	
desulfo-A47934	CPD-15751	C58H44N7O18Cl3	InChIKey=KJTFTWQSEBLIPM-HKSKXXLXSA-N	77036
streptovaricin B	CPD-21850	C42H53NO15	InChIKey=IGDMPTXQUGESNO-MKDMNXCWSA-N	
<i>S</i>-bimane-L-cysteinylglycine	CPD-21166	C15H20N4O5S	InChIKey=NVOVNYVIASUGKA-JTQLQIEISA-N	
5-O-(indol-3-ylacetyl-<i>myo</i>-inositol) D-galactoside	5-O-INDOL-3-YLACETYL-MYO-ETCETERA	C22H29NO12	InChIKey=CTIMKKNHIWVXHA-ICRLQBCGSA-N	17391
ansavaricin E	CPD-21916	C36H47NO10	InChIKey=WMJXJEAVNOXXGC-BAHUOWDZSA-N	
protostreptovaricin V	CPD-21863	C35H45NO9	InChIKey=HTLHRKZVFGSCIY-VUCJVVSXSA-N	
A-90289 A	CPD-15247	C53H86N5O25S	InChIKey=CGOLKKPNSFPTKB-JPWATHADSA-M	
isogalactinol	CPDQT-235	C12H22O11	InChIKey=VCWMRQDBPZKXKG-BJBMSVMHSA-N	
ansavaricin B	CPD-21913	C37H43NO11	InChIKey=APMCUXUWQINMKR-PEESCFGISA-N	
aureothin	CPD-13144	C22H23NO6	InChIKey=GQKXCBCSVYJUMI-WACKOAQBSA-N	80024
protostreptovaricin II	CPD-21860	C37H49NO9	InChIKey=BKIVYPUERXACBV-IPMVGKMZSA-N	
hexyl acetate	CPD-19627	C8H16O2	InChIKey=AOGQPLXWSUTHQB-UHFFFAOYSA-N	87510
fagopyritol A2	CPD-8256	C18H32O16	InChIKey=MWNCPUNLDATDBW-LYHZXLDYSA-N	175874
28-dehydroxystreptovaricin F	CPD-21904	C39H47NO13	InChIKey=JEUMZVNCPQDNEY-CMAAPBOLSA-N	
propyl acetate	CPD-18998	C5H10O2	InChIKey=YKYONYBAUNKHLG-UHFFFAOYSA-N	40116
dihydrokalafungin	CPD1A0-6117	C16H13O6	InChIKey=ZCJHPTKRISJQTN-SFYZADRCSA-M	31491
streptovaricin F	CPD-21857	C39H47NO14	InChIKey=LMKBJVKXRKQNGU-QODRHMAWSA-N	
(3<i>Z</i>)-hex-3-en-1-yl acetate	CPD-12846	C8H14O2	InChIKey=NPFVOOAXDOBMCE-PLNGDYQASA-N	61316
fagopyritol B1	CPD-8253	C12H22O11	InChIKey=VCWMRQDBPZKXKG-ADKCXELFSA-N	133330
24-demethoxycarbonyl-24methylstreptovaricin G	CPD-21896	C39H51NO13	InChIKey=AVGFSNGNDCSOAJ-KALBCGFASA-N	
isobutyl acetate	CPD-19628	C6H12O2	InChIKey=GJRQTCIYDGXPES-UHFFFAOYSA-N	50569
piericidin A	CPD0-1233	C25H37NO4	InChIKey=BBLGCDSLCDDALX-LKGBESRRSA-N	138511
streptovaricin J	CPD-21854	C42H53NO15	InChIKey=HWZKXYATXCLZAG-LSWMSPDASA-N	
2-methylbutyl acetate	CPD-19624	C7H14O2	InChIKey=XHIUFYZDQBSEMF-UHFFFAOYSA-N	50585
galactopinitol B	CPD-8048	C13H24O11	InChIKey=RSYNCMYDVZFZBP-KERYTHSYSA-N	
demethylstreptovaricin D	CPD-21883	C39H48NO13	InChIKey=QOHHXHYFJQJAIQ-SIOOQLFJSA-M	
butyl acetate	CPD-13346	C6H12O2	InChIKey=DKPFZGUDAPQIHT-UHFFFAOYSA-N	31328
tautomycin	CPD-25937	C41H66O13	InChIKey=RFCWHQNNCOJYTR-IRCAEPKSSA-N	9414
streptovaricin C	CPD-21851	C40H51NO14	InChIKey=JDECNKBYILMOLE-YJPXBMRVSA-N	
benzyl acetate	CPD-6501	C9H10O2	InChIKey=QUKGYYKBILRGFE-UHFFFAOYSA-N	52051
inositol-&beta;-galactoside	CPD-10816	C12H22O11	InChIKey=VCWMRQDBPZKXKG-OSOMVMCLSA-N	
prostreptovaricin	CPD-21879	C35H47NO10	InChIKey=MHOUUNHTVCQAIF-OSTMVVCPSA-N	
<i>cis</i>-vaccenyl acetate	CPD-20984	C20H38O2	InChIKey=QSZKEDWVAOAFQY-HJWRWDBZSA-N	46274
obatoclax mesylate	CPD-23501	C20H19N3O	InChIKey=RFTSSZJZXOSICM-VXLYETTFSA-N	
ansavaricin D	CPD-21914	C40H53NO15	InChIKey=SRCLPEMZDIGENJ-VTQZRTJZSA-N	
3-methylbutyl acetate	CPD-19626	C7H14O2	InChIKey=MLFHJEHSLIIPHL-UHFFFAOYSA-N	31725
fagopyritol A1	CPD-8257	C12H22O11	InChIKey=VCWMRQDBPZKXKG-LTSXGCBZSA-N	156276
protostreptovaricin III	CPD-21861	C36H47NO10	InChIKey=UIRHEISCQHAHSY-JXIPRUIOSA-N	
farnesyl acetate	CPD-18484	C17H28O2	InChIKey=ZGIGZINMAOQWLX-NCZFFCEISA-N	186251
orinocin	CPD-21838	C19H19NO6	InChIKey=XENAWSJFNWCPOG-WPMUKRGUSA-N	
6-<i>O</i>-methyl-28-dehydroxydamavaricin C	CPD-21905	C38H49NO12	InChIKey=ADYSLUVBNTYVHD-UZIDKVSJSA-N	
ethyl acetate	ETHYLACETATE	C4H8O2	InChIKey=XEKOWRVHYACXOJ-UHFFFAOYSA-N	27750
streptovaricin U	CPD-21858	C36H50NO10	InChIKey=LACOYXWEZCXDQU-VQKHBQRKSA-M	
4-acetoxyphenol	CPD-22670	C8H8O3	InChIKey=HBMCQTHGYMTCOF-UHFFFAOYSA-N	31128
isonicotinate acyl-NADH adduct	CPD-20008	C27H30N8O15P2	InChIKey=GZPCDCKLGMEXOS-HZLQZMKMSA-L	
(<i>22R,23R</i>)-28-homocastasterone 22-O-sulfate	CPD-11828	C29H49O8S	InChIKey=MXFYIPZNENWPSK-NKOPCKDMSA-M	
(3<i>R</i>)-hydroxydecanoyl-CoA	CPD-12777	C31H50N7O18P3S	InChIKey=HIVSMYZAMUNFKZ-PDQACDDGSA-J	74272
D-1-guanidino-3-amino-1,3-dideoxy-<i>scyllo</i>-inositol	D-1-GUANIDINO-3-AMINO-13-DIDEOXY-SCYLLO	C7H18N4O4	InChIKey=FXXWDCNDGPHMNA-FUHDGFEASA-P	58035
isoproturon	CPD-23253	C12H18N2O	InChIKey=PUIYMUZLKQOUOZ-UHFFFAOYSA-N	6049
(<i>S</i>)-3-hydroxydecanoyl-CoA	CPD0-2244	C31H50N7O18P3S	InChIKey=HIVSMYZAMUNFKZ-PNPVFPMQSA-J	62616
22-[(1R,3S)-5,9,10-trihydroxy-1-methyl-1H,3H,4H-naphtho[2,3-c]pyran-3-yl]acetate	CPD-19413	C16H15O6	InChIKey=GBBQTBKHHWHZSJ-SFYZADRCSA-M	81706
fluometuron	CPD-23257	C10H11N2OF3	InChIKey=RZILCCPWPBTYDO-UHFFFAOYSA-N	82012
3-oxopentanoyl-CoA	CPD-13534	C26H38N7O18P3S	InChIKey=WIOQNWTZBOQTEU-ZMHDXICWSA-J	
1-keto-D-<i>chiro</i>-inositol	CPD-365	C6H10O6	InChIKey=VYEGBDHSGHXOGT-QFYCRYKCSA-N	50920
metoxuron	CPD-23254	C10H13N2O2Cl	InChIKey=DSRNRYQBBJQVCW-UHFFFAOYSA-N	6907
acetoacetyl-CoA	ACETOACETYL-COA	C25H36N7O18P3S	InChIKey=OJFDKHTZOUZBOS-CITAKDKDSA-J	57286
ravidomycin V	CPD-18159	C31H34NO9	InChIKey=GHLIFBNIGXVDHM-JFNKQFCGSA-O	
fenuron	CPD-23258	C9H12N2O	InChIKey=XXOYNJXVWVNOOJ-UHFFFAOYSA-N	5013
3-oxo-(9Z)-octadecenoyl-CoA	CPD-19169	C39H62N7O18P3S	InChIKey=AVEYYKDEKGJVBU-BPMMELMSSA-J	87695
<i>scyllo</i>-inosose	CPD-14808	C6H10O6	InChIKey=VYEGBDHSGHXOGT-HYFGLKJPSA-N	81197
monuron	CPD-23255	C9H11N2OCl	InChIKey=BMLIZLVNXIYGCK-UHFFFAOYSA-N	38214
3-oxo-(9Z)-hexadecenoyl-CoA	CPD-19158	C37H58N7O18P3S	InChIKey=JDNARGYWMLYADA-MDMKAECGSA-J	
desmethyl-dehydro-dechlorogriseofulvin	CPD-17799	C16H14O6	InChIKey=FDUZTVVNKDZMKG-INIZCTEOSA-N	
chlorotoluron	CPD-23256	C10H13N2OCl	InChIKey=JXCGFZXSOMJFOA-UHFFFAOYSA-N	81981
3-oxoauricoloyl-CoA	CPD-17401	C41H64N7O19P3S	InChIKey=FGCWEBKTQLBCLR-JRSZCNINSA-J	
3D-(3,5/4)-trihydroxycyclohexane-1,2-dione	CPD-1133	C6H8O5	InChIKey=SHFQRUVRUBHHRE-CJPQEGFPSA-N	28446
3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione	CPD-13709	C19H24O4	InChIKey=YUHVBHDSVLKFNI-NJSLBKSFSA-N	15896
3-oxomyristoyl-CoA	CPD-10284	C35H56N7O18P3S	InChIKey=IQNFBGHLIVBNOU-QSGBVPJFSA-J	62543
L-leucyl-blasticidin S	CPD-17168	C23H38N9O6	InChIKey=CMEAFYGYVWZYDO-QERJWTBHSA-O	
androsta-1,4-diene-3,17-dione	CPD-13704	C19H24O2	InChIKey=LUJVUUWNAPIQQI-QAGGRKNESA-N	40799
(13<i>Z</i>)-3-oxodocos-13-enoyl-CoA	CPD-22043	C43H70N7O18P3S	InChIKey=TWKFVJBYYSLPHE-SPZFTOIUSA-J	74070
(indol-3-yl)acetyl-<i>myo</i>-inositol L-arabinoside	INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE	C21H27NO11	InChIKey=RSJCNPKYAYZLFB-POJWULBDSA-N	28071
16&alpha;-hydroxy-androst-4-ene-3,17-dione	CPD-15604	C19H26O3	InChIKey=SSBCZTXGVMMZOT-NBBHSKLNSA-N	27582
3-oxo-(11Z)-octadecenoyl-CoA	CPD-19160	C39H62N7O18P3S	InChIKey=OUROWZUTGFHRJE-SAIINBSPSA-J	76555
3,5-dioxo-6-[4,5,7-trihydroxy-3-(3-oxobutanoyl)naphthalen-2-yl]hexanoate	CPD-16647	C20H17O9	InChIKey=KQWNMCHCVXVLRS-UHFFFAOYSA-M	
9&alpha;-hydroxy-androst-4-en-3,17-dione	CPD-13706	C19H26O3	InChIKey=SNMVJSSWZSJOGL-PLOWYNNNSA-N	85549
(11<i>Z</i>)-3-oxohexadecenoyl-CoA	CPD-17815	C37H58N7O18P3S	InChIKey=LGTVDWICXIBIOI-UBPKJMQESA-J	79021
1-guanidino-1-deoxy-<i>scyllo</i>-inositol	CPD-7168	C7H16N3O5	InChIKey=LXQDZCCPYLOHOJ-CDRYSYESSA-O	58016
androstenedione	ANDROST4ENE	C19H26O2	InChIKey=AEMFNILZOJDQLW-QAGGRKNESA-N	16422
3-oxoicosanoyl-CoA	CPD-14271	C41H68N7O18P3S	InChIKey=FYBVHNZJDVUVLJ-IBYUJNRCSA-J	65115
devancosaminyl-vancomycin	CPD-15744	C59H62N8O22Cl2	InChIKey=QCHYVJAUGVHJHX-XEEDFNFNSA-N	47395
16&alpha;-,17-dihydroxy-androst-4-ene-3-one	CPD-15608	C19H28O3	InChIKey=YMCWOAZGWMZGQT-FPNLOETNSA-N	34172
3-oxopalmitoyl-CoA	3-OXOPALMITOYL-COA	C37H60N7O18P3S	InChIKey=NQMPLXPCRJOSHL-BBECNAHFSA-J	57349
3-dehydro <i>scyllo</i>-inosose	CPD-15236	C6H8O6	InChIKey=XQCGHIBXRBNZFL-PCGRLTQBSA-N	137015
3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione	CPD-13708	C19H24O3	InChIKey=ZWXONJFCJAGEBA-BXWFABGCSA-N	182415
3-oxo-(7Z)-hexadecenoyl-CoA	CPD-19167	C37H58N7O18P3S	InChIKey=BUCIFQOXNYHEOO-YDGGZUKGSA-J	87719
aureobasidin A	CPD-14755	C60H92N8O11	InChIKey=RLMLFADXHJLPSQ-MJQYLNDYSA-N	61739
9&alpha;-hydroxyandrosta-1,4-diene-3,17-dione	CPD-13680	C19H24O3	InChIKey=JCEUDJXAQHPZGL-PLOWYNNNSA-N	63641
3-oxo-(7Z)-tetradecenoyl-CoA	CPD-19157	C35H54N7O18P3S	InChIKey=BEPLLRGJVXAEJI-TWAFKMGKSA-J	
phosphoinositol-&alpha;-mannoside	CPD-14767	C12H21O14P	InChIKey=RKBZSOHCWNFBLV-AMEHKVJOSA-L	
1&alpha;-hydroxyandrost-4-ene-3,17-dione	CPD-18924	C19H26O3	InChIKey=JVRABWKGNATXPC-HQRJMKCBSA-N	133778
3-oxo-(5Z)-tetradecenoyl-CoA	CPD-15244	C35H54N7O18P3S	InChIKey=KADPWMJVUVWQNK-STFCKWFXSA-J	87707
phlorisobutanophenone	CPD-7104	C10H12O4	InChIKey=BNEBXEZRBLYBCZ-UHFFFAOYSA-N	133419
tubercidin	CPD-13054	C11H14N4O4	InChIKey=HDZZVAMISRMYHH-KCGFPETGSA-N	48267
3-oxooctadecanoyl-CoA	CPD-10260	C39H64N7O18P3S	InChIKey=LGOGWHDPDVAUNY-LFZQUHGESA-J	71407
D-1-guanidino-1-deoxy-3-dehydro-<i>scyllo</i>-inositol	D-1-GUANIDINO-1-DEOXY-3-DEHYDRO-SCYLLO-I	C7H14N3O5	InChIKey=MMPAYJAQJWVMJV-LVBGKUAWSA-O	17845
phlorisovalerophenone	3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN	C11H14O4	InChIKey=VSDWHZGJGWMIRN-UHFFFAOYSA-N	15951
2-chloroacetate	CHLOROACETIC-ACID	C2H2O2Cl	InChIKey=FOCAUTSVDIKZOP-UHFFFAOYSA-M	23123
